"k","n","method","fwer","c_factor"
15,25,"Scheffe",0,0.00133563187626497
5,30,"Fusion",0.057,0.114256717260664
5,30,"Tukey",0.055,0.114256717260664
5,30,"Holm",0.0415,0.114256717260664
5,30,"BH",0.046,0.114256717260664
5,30,"Scheffe",0.02,0.114256717260664
6,30,"Fusion",0.0465,0.066113596880164
6,30,"Tukey",0.0515,0.066113596880164
6,30,"Holm",0.0385,0.066113596880164
6,30,"BH",0.043,0.066113596880164
6,30,"Scheffe",0.011,0.066113596880164
8,30,"Fusion",0.0495,0.0246738185866684
8,30,"Tukey",0.054,0.0246738185866684
8,30,"Holm",0.041,0.0246738185866684
8,30,"BH",0.0475,0.0246738185866684
8,30,"Scheffe",0.0025,0.0246738185866684
10,30,"Fusion",0.049,0.0100856164791336
10,30,"Tukey",0.047,0.0100856164791336
10,30,"Holm",0.0325,0.0100856164791336
10,30,"BH",0.036,0.0100856164791336
10,30,"Scheffe",0.002,0.0100856164791336
12,30,"Fusion",0.0485,0.00436682806707309
12,30,"Tukey",0.0485,0.00436682806707309
12,30,"Holm",0.0345,0.00436682806707309
12,30,"BH",0.0395,0.00436682806707309
12,30,"Scheffe",0.001,0.00436682806707309
15,30,"Fusion",0.0585,0.00133563187626497
15,30,"Tukey",0.0515,0.00133563187626497
15,30,"Holm",0.0395,0.00133563187626497
15,30,"BH",0.046,0.00133563187626497
15,30,"Scheffe",5e-04,0.00133563187626497
